new iteration,
10136.69102,4107.429529
13603.39202,952.232642
13820.00562,1150.633043
14055.60745,1351.970795
16924.68248,491.1598859
15816.39298,2298.399366
17094.42418,2286.985944
new iteration,
574.9173113,538.8871685
1422.361594,1268.248843
2345.879193,896.471524
1184.981822,2469.478473
3122.350717,987.1178526
3214.108603,1280.072091
1349.301852,3716.730284
4196.881154,1320.544304
5767.54239,670.8075395
5849.583038,1038.009181
7055.340568,422.7327141
7839.332462,661.3724358
9390.472694,1245.139235
7175.904064,4053.059873
9346.426096,4176.135744
13868.19977,619.2080312
15406.00378,665.8467561
15531.67248,951.6949294
14304.92447,2642.272269
14476.80297,3046.936175
17304.05018,684.2142897
17747.67581,1747.849775
17399.18175,2622.670295
17747.28734,2949.989678
new iteration,
15.44458187,2443.754378
3126.175742,436.2472395
1668.940338,2201.75942
4746.103325,456.9503773
7605.130974,449.5253124
5960.212428,2540.48095
8550.562643,710.3780795
9406.916928,631.6366516
10705.86169,641.5293037
8638.098745,3148.236914
11875.34318,684.4100856
12102.21137,1026.224034
13492.54721,425.0825821
13864.00119,2453.301452
15833.6226,868.8493875
17522.74686,674.9717636
16661.04816,2365.644681
16787.14764,2704.027734
new iteration,
325.2804546,525.1248212
2438.685484,600.2017669
2569.015918,843.0073515
3975.235399,495.8752064
3455.892068,2183.14732
6931.053433,2432.811359
9783.366162,619.1592251
11242.25766,540.2050579
17415.75046,593.4684248
17557.4937,965.0426116
17889.21888,1082.186913
17953.02897,3297.503961
new iteration,
454.4279345,556.3738927
1301.603791,483.7173881
4762.407731,490.6482167
5417.47155,574.5309172
9518.754736,496.6172736
8595.431745,3996.039378
13109.10023,497.6770115
13874.04155,421.2816333
14395.96059,1464.84333
15375.05792,964.3900489
14278.48016,2569.90923
14389.02493,3023.439495
17118.6984,2233.859538
new iteration,
1152.190126,563.0561074
2212.944419,432.8542464
2344.855866,1287.98208
2315.486379,2591.421324
4566.876197,718.8305219
4860.995671,786.5277851
3050.267942,4497.500429
7181.783689,956.1745147
8702.375207,674.7989074
9801.775941,572.5306843
10626.40352,697.926685
14043.54433,538.0584975
14045.16657,879.363713
14804.53028,649.5594786
14947.57317,1341.000965
16767.79663,1177.209445
16863.56734,1478.355937
14857.27876,3997.589067
17794.91528,1873.885762
16522.17493,3662.027253
16694.30447,5599.837136
17323.83199,7022.786477
new iteration,
653.00385,523.556697
1053.053379,593.7251535
1598.778758,574.5626247
1938.586263,710.6221584
2005.447711,1103.082291
2283.394802,1261.70362
2456.141732,1392.854725
2988.530002,1279.51884
3792.803403,816.277659
7058.557506,540.7157743
7948.337312,541.2537666
8084.37974,1271.026907
8037.860846,2600.271509
11487.02159,436.7993383
10848.60156,2165.958389
16568.4253,601.1892733
15200.85695,2523.785679
17200.3829,998.1853237
15865.37694,2698.281495
17651.96306,1345.567602
new iteration,
699.4612749,492.4485365
1290.864666,427.0172485
1569.775732,616.6375012
1917.302143,949.210696
4152.213357,741.5386984
4755.774949,629.7430045
1889.32993,4167.024378
6900.9496,448.9233919
7351.900174,627.5841295
7859.484303,695.9887427
8062.401827,1021.792266
13753.43248,474.8683723
13934.53303,757.1112474
14644.49797,620.6070945
14785.76635,895.9468066
17384.39516,450.0657794
16263.56132,5726.070338
new iteration,
855.8412577,2284.885691
4571.392923,691.8246575
7203.47054,1049.213474
7993.600486,776.3453618
8937.928989,823.4472118
9368.954376,931.8292167
7094.694096,4155.245543
11327.06409,421.9078632
9866.018643,2504.337639
12576.07364,617.5693532
12676.37419,820.029563
12686.15634,1127.694529
13969.14208,577.4412451
14498.01524,763.033633
14654.05797,983.3384018
16480.48316,647.1305307
new iteration,
964.7976161,570.5043339
1974.605421,508.0911617
5110.888847,461.4045241
3583.015275,2433.344725
5823.937025,789.8548862
6477.467381,517.4363591
7962.830408,750.99671
7914.873621,2256.021957
10301.86369,536.2298311
8391.006788,2841.743178
11010.62975,580.7058284
11767.29066,592.5571488
12006.94516,870.7734776
13664.05931,984.0880629
12515.6515,2619.198049
15014.84955,579.9544978
13655.54234,2361.880178
15861.47428,576.1546502
17206.37433,667.7128178
