new iteration,
12518.25327,688.4122091
12750.79888,707.5670038
12884.51062,852.2512289
13906.73918,446.3306949
12060.61795,2526.525134
14280.32493,697.3310311
14589.59407,592.982583
14882.47432,633.3533423
14727.50458,848.3230851
15395.82767,1213.950395
15806.03191,988.8566737
16216.71079,1012.322394
16262.38108,1218.958841
16489.77806,1124.028006
16691.03216,1385.347671
16855.57324,1397.600338
17003.70292,1738.079643
13270.97887,5581.308208
17006.63977,2114.740369
15020.05147,4374.247109
15217.53491,4566.167323
17597.02818,2454.969723
16001.64005,4358.201214
16989.03318,3714.061175
17136.15197,4287.547438
17679.36659,4138.988304
new iteration,
239.8812392,694.9143939
380.076916,645.5611567
905.6380727,676.3819518
1211.354207,745.346345
1617.299653,662.228946
3097.250176,454.5004698
3799.804306,481.9746488
2092.710671,2434.124704
4042.012373,564.1042912
843.9316764,3939.135499
977.7073963,4178.031845
4825.38798,530.4868384
5144.146606,614.5280001
5388.473802,470.4694024
5738.943205,428.0097094
5810.310766,737.0233277
5811.953561,807.785618
5887.331161,962.223886
7152.165109,525.4495251
5455.062498,2518.421712
5896.215766,2747.147532
4406.835375,4742.713118
8863.102309,556.0360927
9080.179868,539.7331715
7661.057538,2343.464842
10130.32792,591.7873772
10938.58829,547.1651707
10666.31274,2125.129542
12391.40437,964.1622237
11028.27316,2454.189168
12875.35497,921.2439576
13870.26518,489.3337672
14279.99296,475.6934078
12337.79655,2505.835386
13492.50844,2547.176083
15416.92281,691.6847696
16306.91599,530.1419246
17744.03046,621.6460146
17035.78508,2244.463553
17999.5114,2622.97007
17107.34415,4005.407578
15572.01164,5842.681259
new iteration,
109.0888143,500.1417767
1152.174121,521.2114877
1834.567841,589.2912851
2081.748572,636.6937435
617.0158971,2389.412156
2599.240645,615.6554814
2808.82093,610.8945899
3471.84487,719.5679078
3622.356962,734.1753459
3156.565128,2424.017759
4235.612363,2333.602772
6403.36892,603.3818907
6741.608076,847.9480541
6797.786681,1277.694569
5208.945036,3234.986068
8045.824734,694.4698672
8130.566301,785.1579812
6688.575843,2556.633451
5167.667648,4642.831726
9025.368004,1029.683117
9346.458884,806.9479529
9369.040142,1074.151564
9810.352768,936.3964303
8899.683851,2386.024288
10457.07223,870.4968242
11190.6078,465.153351
12637.67931,588.1617867
12813.53639,505.2771274
11457.07479,2531.442373
10332.28675,4037.201995
14732.70718,643.9527668
10769.99682,4725.046177
14982.44528,759.3499682
15933.68009,618.6920199
13710.83253,4312.984819
17020.85089,2325.200876
17191.39675,2325.009342
new iteration,
349.3702328,439.4676004
429.4183777,2338.924893
2489.491817,849.3732647
2648.343271,750.5218111
1440.279802,2467.571538
2132.699803,2431.873586
3955.287279,691.7191463
4254.114011,806.2720626
4673.274494,465.1692629
3596.52187,2454.589847
5871.871533,628.0580554
6286.528749,458.2205216
5302.009367,2403.144346
7079.055975,708.1266276
5407.203242,2743.248268
7927.848735,836.9665038
8005.462728,837.0792946
6697.639609,2518.146615
8560.029239,787.6679256
8824.159605,977.0798031
7835.349432,2126.253112
9459.039025,792.7866001
11137.76646,451.5036256
11312.43195,620.4919496
11436.56172,633.2192117
11565.18346,686.9171389
11647.92096,877.9854037
11698.34773,1006.500985
10248.33341,2634.75235
8644.815239,4439.215884
12365.45319,839.4701271
13202.66263,441.6645669
13264.08728,573.4177452
15428.18355,484.4655085
15286.45487,663.9734435
16337.73529,500.0095344
16332.0945,544.7140633
15079.36429,2334.483608
16907.37473,559.4395595
16999.92683,940.8096375
17346.81429,601.5357565
17692.4715,596.712638
17928.63783,528.5214615
new iteration,
414.659837,464.8631189
447.8752285,595.4833602
868.1032753,524.5270374
88.1063737,2148.084924
1904.966146,428.186302
2298.23915,484.2708853
2323.094768,712.2286141
2662.510035,793.3442602
3690.890779,783.2436298
4569.506081,855.9055449
2424.011987,3113.855292
4725.815152,1218.596105
3040.709401,2947.188717
4805.336451,1587.944789
5053.191849,1929.883998
3150.631861,3952.443985
3335.854295,4148.009937
2162.20882,5635.058485
4027.014041,3919.272942
4225.461855,4077.297103
6336.163848,2163.617755
6397.306211,2255.50971
6891.344184,2261.240688
7139.350061,2441.020303
5010.018295,4737.604951
5042.451181,4973.336141
7925.219515,2172.361526
8475.699636,1948.805718
9483.913445,1414.062002
6863.075846,4373.880454
10129.26626,1205.699819
10387.01596,1203.472778
11214.96608,838.6624032
5164.239522,7260.755431
10271.83819,3192.733604
13052.44245,519.5934509
13075.27383,789.7294447
8002.452881,5957.759371
13618.92267,770.8786469
14661.6773,438.2755684
15699.49361,631.3449621
14209.71344,2223.85107
14186.23398,2649.648642
16715.88262,665.952223
17136.57564,424.5112521
new iteration,
791.4537076,633.9879648
1493.001089,502.9560921
1866.916056,565.7175571
2669.35906,636.0183686
3266.451274,601.2909928
3247.939083,679.8031832
3278.83993,2702.606484
3930.805651,2275.424624
6257.132595,509.986867
6767.143745,660.4330653
7286.161811,703.1160082
5740.076043,2324.145148
7885.685311,471.3993092
8165.954158,542.7259626
8452.386211,606.3964641
8524.021255,853.4740825
8796.682342,654.3922658
10053.79246,704.8603506
8194.100114,2624.552696
10099.63965,1073.770722
10303.42218,989.8536667
11140.56662,560.7864629
11529.19867,457.9776959
13181.79436,493.8702512
13753.10503,635.9964194
14061.12515,581.0776715
14224.8626,550.539804
14655.4024,2247.453353
12533.68311,4437.057119
